Drug Trials Snapshots | FDA,,,,
Brand Name (Drug Trials Snapshot),Drug Name,Original Date of FDA Approval,FDA Approved Use on Original Approval Date*,Brand Name (Prescribing Information)
NEMLUVIO,nemolizumab-ilto,"August 12, 2024",To treat prurigo nodularis,Nemluvio
YORVIPATH,palopegteriparatide,"August 9, 2024",To treat hypoparathyroidism,Yorvipath
IZERVAY,avacincaptad pegol intravitreal solution,"August 4, 2023",To treat geographic atrophy secondary to age-related macular degeneration,Izervay
PIASKY,crovalimab-akkz,"June 20, 2024",Treatment of paroxysmal nocturnal hemoglobinuria,Piasky
XOLREMDI,mavorixafor,"April 26, 2024","For the treatment of adults and adolescents over the age of 12 years with WHIM (Warts, Hypogammaglobulinemia, Infection, and Myelokathexis) syndrome",Xolremdi
ZEVTERA,ceftobiprole medocaril sodium for injection,"April 3, 2024","Treatment of certain bloodstream infections, bacterial skin and associated tissue infections, and community-acquired bacterial pneumonia",Zevtera
VOYDEYA,danicopan,"March 29, 2024",To treat extravascular hemolysis with paroxysmal nocturnal hemoglobinuria,Voydeya
WINREVAIR,sotatercept-csrk,"March 26, 2024",For the treatment of adults with pulmonary arterial hypertension,Winrevair
DUVYZAT,givinostat,"March 21, 2024",Treatment of Duchenne muscular dystrophy in individuals aged 6 years and older,Duvyzat
TEVIMBRA,tislelizumab-jsgr,"March 14, 2024",To treat unresectable or metastatic esophageal squamous cell carcinoma,Tevimbra
LETYBO,letibotulinumtoxinA,"February 29, 2024",To temporarily improve the appearance of moderate-to-severe glabellar lines,Letybo
EXBLIFEP,cefepime and enmetazobactam,"February 22, 2024",For the treatment of patients 18 years and older with complicated urinary tract infections (cUTI),Exblifep
ZELSUVMI,berdazimer,"January 5, 2024",Treatment of molluscum contagiosum,Zelsuvmi 
WAINUA,eplontersen,"December 21, 2023",To treat polyneuropathy of hereditary transthyretin-mediated amyloidosis,Wainua
FILSUVEZ,birch triterpenes,"December 18, 2023",To treat wounds associated with dystrophic and junctional epidermolysis bullosa,Filsuvez
XENOVIEW,xenon Xe 129 hyperpolarized,"December 8, 2023",Evaluation of lung ventilation in adults and pediatric patients,Xenoview
VTAMA,tapinarof,"December 7, 2023",Treatment of plaque psoriasis,Vtama
OGSIVEO,nirogacestat,"November 27, 2023",To treat adults with progressing desmoid tumors who require systemic treatment,Ogsiveo
OHTUVAYRE,ensifentrine,"June 26, 2024",For the maintenance treatment of chronic obstructive pulmonary disease (COPD) in adult patients.,Ohtuvayre
OJEMDA,tovorafenib,"April 23, 2024",To treat certain types of brain tumors (cancers) called gliomas in patients 6 months and older,Ojemda
OJJAARA,momelotinib,"September 15, 2023",to treat a rare type of bone marrow disorder called myelofibrosis (MF) in adults with anemia,Ojjaara
RYZNEUTA,efbemalenograstim alfa-vuxw,"November 11, 2023",To treat neutropenia,Ryzneuta
TRUQAP,capivasertib,"November 16, 2023",To treat breast cancer that meets certain disease criteria,Truqap
AUGTYRO,repotrectinib,"November 15, 2023",To treat ROS1-positive non-small cell lung cancer,Augtyro
DEFENCATH,"taurolidine, heparin","November 15, 2023",To reduce the incidence of catheter-related bloodstream infections in adults with kidney failure receiving chronic hemodialysis through a central venous catheter.,Defencath
